request_time,wait_time,pick_index,drop_index,order_distance,order_fare,detour_ratio
68400,360,247,4483,3699.0,13.77,1.0
68401,480,1083,733,3005.0,11.19,0.5
68401,180,2697,3061,2599.0,9.68,0.5
68402,480,3182,1124,3745.0,13.94,0.75
68404,360,2112,3048,3178.0,11.83,0.25
68404,180,4304,2173,1715.0,6.39,0.25
68405,360,3940,2481,4668.0,17.38,1.0
68405,180,3288,900,2428.0,9.04,1.0
68405,180,3208,2841,4206.0,15.66,1.0
68405,300,157,3544,2125.0,7.91,0.25
68406,300,978,3515,3746.0,13.95,0.25
68406,180,1839,2120,3562.0,13.26,0.25
68406,480,3550,3294,3082.0,11.48,1.0
68407,300,1116,2258,3391.0,12.63,0.75
68407,300,1546,2347,1086.0,4.04,0.25
68407,360,4029,3877,3218.0,11.98,1.0
68407,420,1956,3449,2293.0,8.54,0.5
68408,300,2480,1727,5242.0,19.52,0.5
68408,420,1578,2629,4658.0,17.34,0.75
68408,480,4204,4397,1162.0,4.33,1.0
68408,360,878,3621,7125.0,26.53,0.5
68409,420,3318,3480,3923.0,14.61,0.25
68409,300,586,1638,2603.0,9.69,0.25
68410,480,801,3007,1656.0,6.17,1.0
68410,420,3344,1292,2104.0,7.83,0.5
68411,480,1196,1457,5833.0,21.72,1.0
68412,240,2607,3326,4412.0,16.43,0.5
68412,480,3643,250,1228.0,4.57,1.0
68412,300,1320,3294,1976.0,7.36,1.0
68412,240,1984,1253,4934.0,18.37,0.5
68413,360,4533,3236,2987.0,11.12,0.5
68413,240,241,2082,3268.0,12.17,0.5
68413,480,475,4016,2707.0,10.08,1.0
68413,180,3937,1390,4044.0,15.06,0.25
68414,180,3684,3153,1479.0,5.51,0.75
68414,480,2459,1013,3731.0,13.89,0.75
68414,180,3754,3270,1723.0,6.42,0.75
68414,360,3673,2572,2865.0,10.67,0.25
68415,420,3786,1077,4327.0,16.11,0.75
68415,300,3649,1546,1756.0,6.54,0.5
68418,240,3275,2836,1485.0,5.53,0.25
68418,240,3293,3161,2753.0,10.25,1.0
68418,480,3692,253,3673.0,13.68,0.25
68418,240,826,1519,4281.0,15.94,1.0
68420,420,522,882,6069.0,22.6,0.25
68420,300,4462,1106,2633.0,9.8,0.75
68420,360,3293,182,4458.0,16.6,1.0
68421,180,542,3361,3087.0,11.49,0.5
68421,480,3542,1723,1317.0,4.9,1.0
68421,360,4383,3062,1058.0,3.94,0.25
68421,240,2407,230,1212.0,4.51,0.5
68423,360,56,2549,2515.0,9.36,0.25
68423,360,1543,2363,5153.0,19.19,1.0
68423,240,4347,3941,1286.0,4.79,0.25
68423,240,3261,3920,2407.0,8.96,0.5
68424,420,2103,1674,4148.0,15.44,1.0
68424,360,4448,2431,8011.0,29.83,0.5
68424,300,265,947,3388.0,12.61,0.75
68425,300,2765,4479,4211.0,15.68,0.75
68425,420,2554,4521,1762.0,6.56,1.0
68425,180,2328,460,2798.0,10.42,0.5
68426,360,912,3208,5016.0,18.68,0.5
68426,360,802,1221,3913.0,14.57,0.75
68426,300,3642,824,2378.0,8.85,0.75
68426,180,399,4208,1961.0,7.3,0.5
68427,480,1309,646,2992.0,11.14,0.75
68427,180,2639,2100,2828.0,10.53,0.75
68427,480,4493,2490,1598.0,5.95,1.0
68427,300,22,4456,2031.0,7.56,0.25
68428,480,3623,3357,2226.0,8.29,1.0
68428,240,1076,237,3140.0,11.69,0.5
68428,240,3674,347,2850.0,10.61,0.75
68428,300,2015,1005,1462.0,5.44,0.5
68429,180,1508,4485,4782.0,17.8,0.25
68429,360,1743,1328,1687.0,6.28,1.0
68429,300,2005,1389,4189.0,15.6,0.5
68430,420,1699,1359,6471.0,24.09,0.75
68430,420,2561,1968,3191.0,11.88,0.25
68431,480,1676,2335,1530.0,5.7,0.25
68432,480,1252,1946,1882.0,7.01,1.0
68433,180,1439,3600,2441.0,9.09,1.0
68434,240,4558,4462,2298.0,8.56,0.25
68434,360,4277,3731,3279.0,12.21,0.25
68434,420,2957,4270,4266.0,15.88,0.75
68434,360,238,970,7947.0,29.59,0.25
68435,240,647,1152,7087.0,26.39,1.0
68437,240,574,477,4305.0,16.03,0.25
68437,180,2880,1515,2903.0,10.81,0.25
68437,420,2654,2938,2023.0,7.53,0.25
68438,180,3335,930,7411.0,27.59,1.0
68438,360,4116,2946,3000.0,11.17,0.75
68438,480,336,3150,1043.0,3.88,1.0
68440,360,537,1737,8737.0,32.53,0.5
68441,240,4303,249,1429.0,5.32,0.25
68442,240,1262,521,7666.0,28.54,0.25
68442,420,442,908,2020.0,7.52,0.75
68442,360,2562,3003,1969.0,7.33,0.25
68443,480,4429,940,3568.0,13.28,0.75
68443,180,831,3118,5046.0,18.79,0.25
68444,180,1309,2947,3989.0,14.85,0.5
68444,420,1742,1790,2711.0,10.09,0.25
68444,420,3982,1513,2645.0,9.85,0.25
68445,180,2531,4376,4998.0,18.61,0.75
68445,360,3711,2416,2086.0,7.77,0.25
68447,300,2201,2665,1410.0,5.25,0.5
68447,300,3284,2556,1157.0,4.31,0.75
68447,420,1346,2123,1456.0,5.42,0.5
68448,240,2107,2453,2052.0,7.64,0.75
68448,180,2408,564,2832.0,10.54,0.5
68448,180,4447,3805,2508.0,9.34,0.5
68448,360,237,1907,4271.0,15.9,0.25
68449,360,785,4360,2082.0,7.75,0.75
68449,420,3583,1831,1127.0,4.2,0.75
68449,300,3194,4311,1779.0,6.62,0.5
68450,480,841,1625,2528.0,9.41,0.25
68451,420,2332,291,1473.0,5.48,1.0
68452,300,1725,255,2838.0,10.57,0.75
68452,360,2210,2346,5519.0,20.55,0.5
68453,300,128,203,9951.0,37.05,1.0
68453,300,1080,569,3714.0,13.83,0.5
68454,420,1105,546,2784.0,10.37,0.25
68454,420,2526,265,3972.0,14.79,1.0
68454,360,1415,417,9145.0,34.05,0.5
68455,480,1619,1515,1951.0,7.26,0.75
68457,300,1055,2480,1449.0,5.4,0.75
68458,420,3272,1939,3878.0,14.44,0.5
68459,480,4113,1505,3484.0,12.97,0.5
68459,420,1369,269,2192.0,8.16,1.0
68459,180,1107,4382,2052.0,7.64,0.5
68459,240,1527,806,5358.0,19.95,0.25
68459,420,1484,3045,2191.0,8.16,0.5
68459,480,1326,4128,1910.0,7.11,1.0
68459,480,1400,490,4822.0,17.95,1.0
68459,240,4464,1055,3220.0,11.99,1.0
68460,420,546,2086,1747.0,6.5,1.0
68460,420,253,2662,1323.0,4.93,0.25
68460,300,743,3788,2154.0,8.02,0.75
68460,420,2938,3491,1027.0,3.82,1.0
68461,480,3678,3002,1714.0,6.38,0.25
68461,420,493,4169,1001.0,3.73,0.5
68462,420,1259,564,2653.0,9.88,1.0
68462,240,2610,3497,1171.0,4.36,0.25
68462,420,3733,3403,5911.0,22.01,0.5
68463,420,765,24,2052.0,7.64,1.0
68464,360,1643,4016,4173.0,15.54,1.0
68465,360,3580,518,4799.0,17.87,0.25
68465,360,2924,566,1434.0,5.34,0.25
68465,300,2259,2481,5696.0,21.21,1.0
68465,240,1543,3304,2164.0,8.06,1.0
68466,180,3018,1716,2058.0,7.66,0.75
68466,480,3304,2159,3138.0,11.68,0.5
68466,240,2191,274,3811.0,14.19,0.75
68466,300,1521,220,1529.0,5.69,0.25
68466,420,3254,1452,2564.0,9.55,1.0
68466,300,21,4437,2414.0,8.99,0.25
68467,420,2188,4326,2286.0,8.51,1.0
68467,480,1510,2754,1370.0,5.1,1.0
68468,480,2336,234,2263.0,8.43,0.25
68468,360,881,247,1553.0,5.78,1.0
68469,360,181,4218,4139.0,15.41,0.5
68469,360,4116,2193,1505.0,5.6,0.5
68469,300,3185,3319,2010.0,7.48,0.5
68469,360,3687,1088,1773.0,6.6,0.25
68469,480,3390,2535,3672.0,13.67,0.5
68470,480,1010,4350,3561.0,13.26,0.75
68471,420,1257,3474,2962.0,11.03,0.75
68471,180,2197,3620,3898.0,14.51,1.0
68472,240,3219,3491,4750.0,17.69,0.75
68472,300,790,3393,7402.0,27.56,0.75
68472,420,3307,1050,3164.0,11.78,1.0
68472,180,4393,3365,3888.0,14.48,0.75
68473,480,1709,1402,1361.0,5.07,0.25
68473,480,4345,3717,2715.0,10.11,1.0
68473,360,1515,1966,3249.0,12.1,1.0
68473,180,2927,2116,1886.0,7.02,0.75
68473,180,4073,1074,2152.0,8.01,0.75
68474,420,2139,1754,3899.0,14.52,0.25
68474,300,2651,3242,4544.0,16.92,0.25
68474,180,3275,4406,7629.0,28.41,0.75
68475,180,2835,878,2155.0,8.02,0.75
68475,180,544,3273,2465.0,9.18,0.25
68476,420,1479,475,4294.0,15.99,0.5
68476,300,119,573,7073.0,26.34,0.75
68476,360,260,2848,2788.0,10.38,0.75
68476,240,3443,1497,2099.0,7.82,1.0
68476,420,608,2996,1378.0,5.13,0.25
68476,300,1450,687,2811.0,10.47,0.5
68477,300,176,113,2100.0,7.82,0.25
68477,240,2174,3396,2265.0,8.43,1.0
68477,480,3599,136,1945.0,7.24,0.5
68477,360,4204,2792,11621.0,43.27,0.25
68477,240,2838,1808,4099.0,15.26,0.75
68477,420,4128,1400,1751.0,6.52,1.0
68477,480,13,2173,3301.0,12.29,1.0
68478,420,1982,4420,2939.0,10.94,0.5
68478,180,4116,525,3243.0,12.07,0.75
68478,240,1019,407,4565.0,17.0,0.25
68479,180,3764,4448,4532.0,16.87,1.0
68479,480,3567,1260,2335.0,8.69,0.25
68480,180,3284,1676,1472.0,5.48,0.25
68480,420,2152,3505,1262.0,4.7,0.75
68480,420,565,3543,4944.0,18.41,0.5
68480,360,2189,1006,2530.0,9.42,0.75
68481,180,2118,1614,1758.0,6.55,0.75
68481,300,1684,1301,5480.0,20.4,0.75
68481,240,4361,3257,4143.0,15.43,0.25
68482,360,3378,2374,5012.0,18.66,0.5
68483,360,1107,2469,1772.0,6.6,0.75
68483,360,1475,3522,3526.0,13.13,0.25
68484,180,3308,3901,3952.0,14.71,0.25
68485,240,3488,570,2596.0,9.67,0.75
68485,360,825,228,1766.0,6.58,1.0
68485,240,2687,3620,2431.0,9.05,1.0
68485,360,2375,787,2188.0,8.15,0.75
68486,420,2360,493,6858.0,25.53,1.0
68486,240,4128,3269,1952.0,7.27,0.5
68486,420,731,4119,1134.0,4.22,0.25
68487,180,1720,666,7826.0,29.14,0.5
